,expid,peakid,year,season,nation,bcdate,smtdate,smttime,o2used
0,ANN260101,ANN2,1960,1.0,UK,1960-03-15,1960-05-17,1530,1
1,ANN269301,ANN2,1969,3.0,Yugoslavia,1969-09-25,1969-10-22,1800,0
2,ANN273101,ANN2,1973,1.0,Japan,1973-03-16,1973-05-06,2030,0
3,ANN278301,ANN2,1978,3.0,UK,1978-09-08,1978-10-02,,0
4,ANN279301,ANN2,1979,3.0,UK,,1979-10-18,,0
5,ANN280101,ANN2,1980,1.0,Japan,1980-03-25,1980-04-24,,0
6,ANN280102,ANN2,1980,1.0,Poland,1980-04-09,1980-05-08,,0
7,ANN281302,ANN2,1981,3.0,Italy,1981-09-04,1981-09-23,,0
8,ANN281301,ANN2,1981,3.0,Japan,1981-09-04,1981-10-11,,0
9,ANN282301,ANN2,1982,3.0,Japan,1982-09-14,1982-10-04,,0
10,ANN283101,ANN2,1983,1.0,Austria,1983-04-11,1983-05-05,,0
11,ANN283301,ANN2,1983,3.0,Australia,1983-08-19,1983-10-08,1330,0
12,ANN283302,ANN2,1983,3.0,S Korea,1983-09-01,1983-10-08,,0
13,ANN283401,ANN2,1983,4.0,UK,1983-11-25,1983-12-11,,0
14,ANN284101,ANN2,1984,1.0,Japan,1984-03-13,1984-04-02,,0
15,ANN284301,ANN2,1984,3.0,Japan,1984-08-23,1984-09-03,,0
16,ANN285301,ANN2,1985,3.0,Japan,1985-09-07,1985-10-05,,0
17,ANN286102,ANN2,1986,1.0,Spain,1986-03-26,1986-04-30,,0
18,ANN286101,ANN2,1986,1.0,USA,1986-03-23,1986-05-04,,0
19,ANN287301,ANN2,1987,3.0,Japan,1987-09-15,1987-10-13,,0
20,ANN290301,ANN2,1990,3.0,USA,1990-09-22,1990-10-10,,0
21,ANN450201,ANN4,1950,2.0,UK,1950-06-04,1950-06-17,,0
22,ANN452301,ANN4,1952,3.0,Japan,,,,0
23,ANN453101,ANN4,1953,1.0,UK,,,,0
24,ANN453301,ANN4,1953,3.0,Japan,1953-10-21,,,0
25,ANN455101,ANN4,1955,1.0,W Germany,1955-05-13,1955-05-30,1730,0
26,ANN457101,ANN4,1957,1.0,UK,1957-04-16,1957-05-05,,0
27,ANN460101,ANN4,1960,1.0,UK,1960-03-15,1960-05-18,,0
28,ANN469301,ANN4,1969,3.0,Czechoslovakia,,1969-10-07,1430,0
29,ANN469302,ANN4,1969,3.0,Yugoslavia,1969-09-25,1969-10-21,,0
30,ANN470101,ANN4,1970,1.0,Japan,,1970-04-25,,0
31,ANN474101,ANN4,1974,1.0,W Germany,1974-03-20,1974-04-26,,0
32,ANN478101,ANN4,1978,1.0,S Korea,1978-04-07,1978-04-23,1550,0
